"","INDEX","Sample.id","lat","lon","ref_6","bio4","ai_et0","contrast","ref_4","shannon","bio5","bio17","silt2_1","sand2_1","shannon_species","shannon.red"
"1","-12.93256 135.20189","SRR5919103",-12.93256,135.20189,0.591415,-1.4185278,-0.26427722,0.5813166,-0.95564014,0.559011,0.99412817,-0.5115807,-1.4262125,1.398548,1.57333402,1.57333402
"2","-13.40822 135.77629","SRR5918955",-13.40822,135.77629,0.6362653,-1.3517898,-0.3402344,-0.41471604,-0.9492258,-0.3247843,1.0366646,-0.48948205,-1.4974426,1.375179,0.811964649,0.811964649
"3","-13.52115 134.50615","SRR5919101",-13.52115,134.50615,0.61350405,-1.3068266,-0.38708296,-0.39654377,-0.9509176,-0.07570843,1.0974748,-0.5336794,-1.4824382,0.93918914,1.259996363,1.259996363
"4","-13.74768 141.50618","SRR5916120",-13.74768,141.50618,-0.120062016,-1.5189042,-0.09787107,3.3472662,-0.8523395,1.1554279,0.97385794,-0.54472876,-1.4849107,0.92491084,2.688789297,2.688789297
"5","-13.84394 141.61639","SRR5916035",-13.84394,141.61639,0.39613378,-1.4935886,-0.109614454,-0.1455776,-0.9579755,0.31128308,1.0074222,-0.5336794,-1.3468084,0.9730354,0.417001342,0.417001342
"6","-14.195246 135.71916","SRR5919096",-14.195246,135.71916,0.7739052,-1.2599012,-0.4480486,-0.47391406,-0.94458824,-0.5251879,1.0673331,-0.5226301,-1.7379167,1.6656388,1.760028235,1.760028235
"7","-16.10341667 145.4478833","SRR5918916",-16.10341667,145.4478833,-0.28877237,-1.4250569,1.5886778,-0.24312362,-1.0018891,0.6629321,0.74677134,1.7757804,-0.34051472,-0.54467857,1.846987815,1.846987815
"8","-17.12108333 145.6308833","SRR5918921",-17.12108333,145.6308833,-0.3658026,-1.3126278,0.6597017,-0.3979764,-1.0337613,0.068245664,0.62958413,1.2744664,-0.7418333,-0.5051039,3.664297237,3.664297237
"9","-19.28 -43.5919","SRR7091522",-19.28,-43.5919,0.8198082,-1.4687119,0.44107497,-0.33979347,-0.95328015,0.100108854,0.58609337,-0.23534718,-0.32763934,-0.025071744,2.127472422,1.7140346265
"10","-19.733 147.178","SRR1924237",-19.733,147.178,0.5815533,-1.1635056,-0.38920677,1.7844222,-0.91261244,1.3313603,0.86420417,-0.06250391,-1.119982,0.7644512,4.767878343,2.81509704
"11","-21.2 55.53","SRR5195129",-21.2,55.53,0.004861767,-1.3765779,0.54201806,-0.10109572,-0.98807496,0.6672383,0.45477644,1.3774358,-0.39381862,-0.41250634,4.806503357,4.806503357
"12","-21.34 55.56","SRR5195127",-21.34,55.56,0.013998834,-1.412912,0.03767748,0.34592503,-0.951514,0.85134506,0.650304,1.1859139,-0.777445,-0.13914809,4.862428983,4.862428983
"13","-21.35 55.57","SRR5195126",-21.35,55.57,0.033822738,-1.4140683,0.011317348,0.27243593,-0.92689973,0.883045,0.6745667,1.1266683,-0.8070434,-0.033768255,3.589937632,3.589937632
"14","-22.282754 133.249341","SRR5919098",-22.282754,133.249341,0.89225954,-0.65557027,-0.7973516,-0.5243055,-0.98584044,-1.5475307,1.0423244,-0.3438938,-2.3564432,2.3310144,1.578907254,1.578907254
"15","-24.36 30.72","SRR5195118",-24.36,30.72,0.43001583,-1.2078133,-0.52488023,-0.18382801,-0.97188073,0.5531894,0.82965285,-0.37346396,-1.5169301,1.312691,5.126568796,5.126568796
"16","-25.025508 152.379908","SRR3592108",-25.025508,152.379908,0.46358243,-1.1128787,-0.26914948,1.4923089,-0.95111483,0.9433415,0.7572595,0.69555986,-0.76304317,1.0727074,2.601913952,2.32651247175
"17","-25.2875 130.92864","SRR5918970",-25.2875,130.92864,1.0611476,-0.5212322,-0.8227123,-0.51952636,-0.95926505,-1.2292778,1.1246554,-0.18404667,-1.6020206,1.5473595,2.283656441,2.283656441
"18","-25.3118 131.084","SRR5918989",-25.3118,131.084,1.2049928,-0.5219308,-0.81821483,-0.52670324,-0.9544565,-1.7937648,1.1292621,-0.16194798,-1.6366949,1.3171061,2.623434201,2.623434201
"19","-25.3119 131.085","SRR5918988",-25.3119,131.085,1.2049928,-0.5219308,-0.81821483,-0.52670324,-0.9544565,-1.7937648,1.1292621,-0.16194798,-1.6366949,1.3171061,1.487575863,1.487575863
"20","-25.3504 131.0516","SRR5919197",-25.3504,131.0516,0.82866347,-0.5311625,-0.8198389,-0.4797473,-0.9501782,-0.71624434,1.1172025,-0.1593277,-1.668043,1.4560694,2.448679203,2.7790567818
"21","-25.351 131.041","SRR5919108",-25.351,131.041,0.7627193,-0.53266174,-0.8212131,-0.38481995,-0.9437,-0.26934138,1.1142951,-0.17450212,-1.6520296,1.6111736,3.161665906,2.99596833066667
"22","-25.351 131.0423","SRR5918911",-25.351,131.0423,0.7627193,-0.53266174,-0.8212131,-0.38481995,-0.9437,-0.26934138,1.1142951,-0.17450212,-1.6520296,1.6111736,2.887759636,2.7431537935
"23","-25.44 30.99","SRR5195116",-25.44,30.99,0.24474198,-1.1740727,-0.4547948,-0.19673438,-0.98487705,0.5810531,0.7732043,-0.25479403,-1.8752946,1.4232109,5.032844451,5.032844451
"24","-25.59 151.3","SRR5195143",-25.59,151.3,0.5819452,-0.9134607,-0.5237559,0.11243978,-0.92822766,0.9257447,0.8711971,0.3449642,-1.5073287,1.0413936,3.539392313,4.260573337
"25","-25.77 27.61","SRR5195117",-25.77,27.61,0.584617,-1.0155188,-0.53300065,0.032210473,-0.9414364,0.7342887,0.6745009,-0.39911422,-1.5911069,1.5477782,5.163595175,5.163595175
"26","-26.240738 -54.1545975","SRR5195137",-26.240738,-54.1545975,-0.27301162,-1.1174787,0.58761734,-0.4945777,-1.0674206,-0.6859416,0.7525042,3.4209046,0.19804125,-2.0315611,4.392654132,4.243164495
"27","-27.386111 152.878872","SRR5919099",-27.386111,152.878872,0.39140394,-1.0808429,-0.09537248,0.17211269,-0.97728086,0.8397653,0.7032937,0.83249277,-0.7646173,0.4420096,0.879213603,0.7926962445
"28","-27.632688 153.083025","SRR5919215",-27.632688,153.083025,-0.20665576,-1.0563658,-0.07538375,-0.47592995,-1.0474627,-0.6989337,0.7422872,0.89597017,-0.30658144,-0.33524352,0.816972519,0.816972519
"29","-28.05051667 120.5461667","SRR5919227",-28.05051667,120.5461667,1.5480998,-0.537319,-0.8383285,-0.5178405,-0.9061471,-1.170355,1.0666091,-0.23534718,-2.113669,2.1152172,2.174863829,2.174863829
"30","-29.00203333 134.6857167","SRR5919221",-29.00203333,134.6857167,2.084085,-0.63344,-0.8785558,-0.45274097,-0.7016519,-0.35355067,1.0079486,-0.20219916,-1.3600861,1.6965696,2.671050317,2.671050317
