,Sample.id,lat,lon,ai_et0,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,contrast,correlation,cv,dem,dissimilarity,eastness,entropy,evaporation,evenness,EVImax,EVImean,Gppmax,Gppmean,homogeneity,maximum,ref,ref_2,ref_3,ref_4,ref_5,ref_6,ref_7,NDVImax,NDVImean,northness,Nppmax,Nppmean,ocs,range,shannon,simpson,std,uniformity,variance,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bdod2_1,bdod2_2,cec2_1,cec2_2,cfvo2_1,cfvo2_2,clay2_1,clay2_2,nitrogen2_1,nitrogen2_2,ocd2_1,ocd2_2,phh2o2_1,phh2o2_2,sand2_1,sand2_2,silt2_1,silt2_2,soc2_1,soc2_2,shannon_species,shannon_genus,shannon_family,ece,esp,biome,X.y,JGI.id,Type,Lat,Lon,Size.bp.,Continent,Biome,Data.Contributor,Library.Instrument,Library.Strategy,Library.Source,Library.Selection,Library.Layout,Library.Construction.protocol,JGI.Library.Instrument
1,Cjian1_BDME190026006,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.26399397,4.813903168,4.356034059,NA,NA,Wetland,1,NA,In-house,30.39472222,121.2741667,72937558,Asia,Wetland,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
2,Cjian2_BDME190025878,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.644892814,5.263212469,4.860129155,NA,NA,Wetland,2,NA,In-house,30.39472222,121.2741667,63854468,Asia,Wetland,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
3,Cjian3_BDME190025999,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.171271022,4.991255369,4.664038174,NA,NA,Wetland,3,NA,In-house,30.39472222,121.2741667,83984450,Asia,Wetland,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
4,Cjian4_BDME190026011,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.416965542,4.998861099,4.651381009,NA,NA,Wetland,4,NA,In-house,30.39472222,121.2741667,79057008,Asia,Wetland,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
5,Cjian5_BDME190026015,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.283524154,4.926910359,4.62475929,NA,NA,Wetland,5,NA,In-house,30.39472222,121.2741667,65170846,Asia,Wetland,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
6,Cshang1_BDME190026004,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.819933927,5.290951255,4.789766493,NA,NA,Bare Land,6,NA,In-house,30.39472222,121.2741667,138110320,Asia,Bare Land,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
7,Cshang2_BDME190026008,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.772683286,5.244206201,4.735626955,NA,NA,Bare Land,7,NA,In-house,30.39472222,121.2741667,165955920,Asia,Bare Land,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
8,Cshang3_BDME190025998,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,3.398651277,3.351966224,3.30449219,NA,NA,Bare Land,8,NA,In-house,30.39472222,121.2741667,79134092,Asia,Bare Land,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
9,Cshang4_BDME190026010,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.391129755,5.01329245,4.616538724,NA,NA,Bare Land,9,NA,In-house,30.39472222,121.2741667,71293088,Asia,Bare Land,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
10,Cshang5_BDME190601163,30.39472222,121.2741667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012186945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83385295,-1.40229,-0.83409923,-0.8318954,-2.0469403,-1.1506017,-0.78008395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5226178,-5.390208,-2.0233912,-2.258701,-1.8512282,-1.9022863,-2.9798534,-2.955018,-1.2639437,-1.3419349,-2.0253134,-2.29214,-4.983001,-4.9876757,-3.14773,-3.1324513,-2.8940208,-2.885643,-1.0129797,-0.9611242,5.787141075,5.321626532,4.757363201,NA,NA,Bare Land,10,NA,In-house,30.39472222,121.2741667,100319366,Asia,Bare Land,NA,Illumina HiSeq 4000 or Illumina NovaSeq PE150,WGS,METAGENOMIC,RANDOM,PAIRED,NA,NA
