"","sample","diversity"
"diversity","Cjian1_BDME190026006",23.0104773050184
"diversity1","Cjian2_BDME190025878",23.0332848233473
"diversity2","Cjian3_BDME190025999",23.0117174599399
"diversity3","Cjian4_BDME190026011",23.243347114154
"diversity4","Cjian5_BDME190026015",22.97336479642
"diversity5","Cshang1_BDME190026004",23.2113780208051
"diversity6","Cshang2_BDME190026008",22.9537718996196
"diversity7","Cshang3_BDME190025998",23.3443773278425
"diversity8","Cshang4_BDME190026010",23.094914483914
"diversity9","Cshang5_BDME190601163",22.9595550236801
"diversity10","Ctu1_BDME190026003",23.111268737026
"diversity11","Ctu3_BDME190025997",22.8972521101017
"diversity12","Ctu4_BDME190026009",23.0196300395186
"diversity13","Ctu5_BDME190026013",23.115194123943
"diversity14","Cxia1_BDME190026007",22.8325998936702
"diversity15","Cxia2_BDME190025877",22.9541091295525
"diversity16","Cxia3_BDME190026000",23.1767024696048
"diversity17","Cxia4_BDME190026012",23.1009771150162
"diversity18","Cxia5_BDME190026016",23.0608919952138
"diversity19","ERR1051325",23.8799569350759
"diversity20","ERR436053",24.2885404107273
"diversity21","ERR436055",23.7989236667872
"diversity22","ERR436057",23.6764565019895
"diversity23","ERR436058",24.2472238942343
"diversity24","s1_FDMS190655335",23.3821683285213
"diversity25","S1",23.2962081012772
"diversity26","S10",23.3091995023443
"diversity27","S107",23.2533246196575
"diversity28","S108",23.024455402118
"diversity29","S109",22.9852790139096
"diversity30","s11_FDMS190655341",23.4496132102648
"diversity31","S11",23.1515051645454
"diversity32","S112",23.1433865425656
"diversity33","S113",23.0107385112602
"diversity34","S114",23.2568355649231
"diversity35","S118",21.5423537536871
"diversity36","s12_FDMS190655342",23.4581677672193
"diversity37","S12",22.8291578604228
"diversity38","S120",22.7369759535142
"diversity39","S121",23.310397681937
"diversity40","S122",23.2339000695322
"diversity41","S125",23.2164250555788
"diversity42","S126",23.1976338157102
"diversity43","S127",23.3791098050845
"diversity44","S128",23.2510127327534
"diversity45","S129",23.1904074337894
"diversity46","s13_FDMS190655343",23.4469836741501
"diversity47","S13",23.1929117233416
"diversity48","S130",23.2049262327406
"diversity49","S132",23.4370381712301
"diversity50","S134",22.7875960717618
"diversity51","S135",22.95148405142
"diversity52","S136",22.7170944475751
"diversity53","S137",23.3939920640965
"diversity54","S139",23.38378500256
"diversity55","S14",22.9599498984637
"diversity56","S140",23.2057305412205
"diversity57","S141",22.3992803761758
"diversity58","S142",23.3800506759424
"diversity59","S143",23.1417630149423
"diversity60","S145",23.5399173514953
"diversity61","S155",23.5797314311864
"diversity62","s16_FDMS190655344",23.2985707686232
"diversity63","S16",22.9543307944453
"diversity64","S162",22.9702283801983
"diversity65","S163",23.5301936641019
"diversity66","S165",22.9634678356047
"diversity67","S168",23.1615759431736
"diversity68","s17_FDMS190655345",23.2699826117677
"diversity69","S17",22.9926824878458
"diversity70","S171",23.1617924251478
"diversity71","S173",23.6604402177004
"diversity72","S174",23.4608417510316
"diversity73","S175",22.6440564613026
"diversity74","S176",23.2741109323458
"diversity75","S177",23.1363620692225
"diversity76","S178",23.0530316876974
"diversity77","S179",22.6649051270576
"diversity78","s18_FDMS190655346",23.3466697788458
"diversity79","S18",22.9913530169672
"diversity80","S180",23.343459868153
"diversity81","S182",23.3217698180273
"diversity82","S184",23.5593134542336
"diversity83","S185",23.0084464550436
"diversity84","S186",23.3218492242008
"diversity85","S187",23.6643059223908
"diversity86","S188",23.5222940606934
"diversity87","S191",22.1767914650867
"diversity88","S193",23.1552774478494
"diversity89","S199",23.540592681762
"diversity90","s2_FDMS190655336",23.2643076279115
"diversity91","S2",22.7002707225297
"diversity92","S20",22.467497370726
"diversity93","S209",23.3267187456564
"diversity94","s21_FDMS190655347",23.6190400537567
"diversity95","S21",22.827971416818
"diversity96","S211",22.7367595893743
"diversity97","S212",22.7609429267748
"diversity98","S213",23.2786392971517
"diversity99","S215",23.2915906413285
"diversity100","s22_FDMS190655348",23.6244544960523
